,RTE ,Street Name,From Adress,To Adress,Day,Time,Side,From Street,To Street,Optout
0,31,6th,1400,1998.0,st1Tue,PM,W,Camelia,University,1600
1,21,th6Street,1401,1999.0,st1Mon,PM,E,Camelia,University,
2,22,th6Street,2000,2498.0,nd2Mon,AM,W,University,Dwight,
3,61,th6Street,2001,2499.0,st1Fri,AM,E,University,Dwight,
4,21,th7Street,1400,1598.0,st1Mon,PM,W,Camelia,Bataan,
5,21,th7Street,1500,1998.0,st1Mon,PM,W,Bataan,University,
6,31,th7Street,1401,1999.0,st1Tue,PM,E,Camelia,University,
7,61,th7Street,2000,2498.0,st1Fri,AM,W,University,Dwight,
8,22,th7Street,2001,2499.0,nd2Mon,AM,E,University,Dwight,
9,31,th8Street,1400,1998.0,st1Tue,PM,W,Camelia,University,
10,21,th8Street,1401,1999.0,st1Mon,PM,E,Camelia,University,
11,22,th8Street,2000,2498.0,nd2Mon,AM,W,University,Dwight,2100
12,61,th8Street,2001,2499.0,st1Fri,AM,E,University,Dwight,
13,21,th9Street,1400,1998.0,st1Mon,PM,W,Camelia,University,1600
14,31,th9Street,1401,1999.0,st1Tue,PM,E,Camelia,University,
15,61,th9Street,2000,2498.0,st1Fri,AM,W,University,Dwight,
16,22,th9Street,2001,2499.0,nd2Mon,AM,E,University,Dwight,
17,31,th10Street,1400,1998.0,st1Tue,PM,W,Camelia,University,
18,21,th10Street,1401,1999.0,st1Mon,PM,E,Camelia,University,
19,22,th10Street,2000,2498.0,nd2Mon,AM,W,University,Dwight,
20,61,th10Street,2001,2499.0,st1Fri,AM,E,University,Dwight,
21,21,nd62Street,1600,1998.0,st1Mon,AM,S,City Limit,City Limit,
22,31,nd62Street,1601,1999.0,st1Tue,AM,N,City Limit,City Limit,
23,31,rd63Street,1600,1998.0,st1Tue,AM,S,City Limit,City Limit,
24,21,rd63Street,1601,1999.0,st1Mon,AM,N,City Limit,City Limit,
25,42,th65Street,1264,1298.0,nd2Wed,AM,S,Idaho,City Limit,
26,32,th65Street,1201,1299.0,nd2Tue,AM,N,Idaho,City Limit,
27,32,th66Street,1200,1498.0,nd2Tue,AM,S,City Limit,Sacramento,
28,42,th66Street,1263,1499.0,nd2Wed,AM,N,City Limit,Sacramento,
29,42,th67Street,1264,1498.0,nd2Wed,AM,S,City Limit,Sacramento,
30,43,Halcyon Ct,3020,3098.0,3rd Wed,AM,W,Webster,Prince,
31,33,Halcyon Ct,3001,3099.0,3rd Tue,AM,E,Webster,Prince,
32,32,Harmon,1300,1498.0,2nd Tue,AM,S,Idaho,Sacramento,
33,42,Harmon,1301,1499.0,2nd Wed,AM,N,Idaho,Sacramento,
34,21,Harmon,1500,1898.0,1st Mon,AM,S,Sacramento,City Limit,
35,31,Harmon,1501,1999.0,1st Tue,AM,N,Sacramento,City Limit,
36,51,Harper,2900,3199.0,1st Thurs,AM,W,Russell,Fairview,
37,41,Harper,2999,3125.0,1st Wed,AM,E,Russell,Fairview,
38,22,Harrison,1100,1198.0,2nd Mon,PM,S,San Pablo,Stannage,
39,61,Harrison,1101,1199.0,1st Fri,PM,N,San Pablo,Stannage,
40,32,Haskell,1200,1398.0,2nd Tue,AM,S,San Pablo,Acton,
41,42,Haskell,1201,1399.0,2nd Wed,AM,N,San Pablo,Acton,
42,33,Haste,2200,2398.0,3rd Tue,PM,S,Fulton,Dana,
43,23,Haste,2201,2399.0,3rd Mon,PM,N,Fulton,Dana,
44,63,Hazel,1,91.0,3rd Fri,AM,N,Claremont,Domingo,
45,34,Hazel,2,90.0,4th Tue,AM,S,Claremont,Domingo,
46,21,Hearst,830,1098.0,1st Mon,PM,S,6th,San Pablo,
47,31,Hearst,831,1099.0,1st Tue,PM,N,6th,San Pablo,
48,51,Hearst,1100,1498.0,1st Thurs,PM,S,San Pablo,Sacramento,
49,41,Hearst,1101,1499.0,1st Wed,PM,N,San Pablo,Sacramento,
50,42,Hearst,1500,1998.0,2nd Wed,PM,S,Sacramento,Milvia,
51,32,Hearst,1501,1999.0,2nd Tue,PM,N,Sacramento,Milvia,
52,33,Hearst,2001,2099.0,3rd Tue,PM,N,Milvia,Shattuck,
53,53,Henry,1200,1398.0,3rd Thurs,PM,W,Eunice,Rose,
54,43,Henry,1201,1399.0,3rd Wed,PM,E,Eunice,Rose,
55,43,Henry,1400,1598.0,3rd Wed,PM,W,Rose,Cedar,
56,53,Henry,1401,1599.0,3rd Thurs,PM,E,Rose,Cedar,
57,64,Highland Pl,1800,1898.0,4th Fri,PM,W,Ridge,Hearst,
58,54,Highland Pl,1801,1899.0,4th Thurs,PM,E,Ridge,Hearst,
59,63,Hillcrest Ct,2,18.0,3rd Fri,AM,W,Hillcrest,Cul De Sac,
60,63,Hillcrest Ct,1,19.0,3rd Fri,AM,E,Hillcrest,Cul De Sac,
61,34,Hillcrest Rd,0,66.0,4th Tue,AM,W,Claremont,Eucalyptus,
62,34,Hillcrest Rd,70,222.0,4th Tue,AM,S,Eucalyptus,Roanoke,
63,63,Hillcrest Rd,71,223.0,3rd Fri,AM,N,Eucalyptus,The Uplands,
64,63,Hillcrest Rd,119,,3rd Fri,AM,N,Hillcrest Ct,Claremont,
65,63,Hillcrest Rd,254,266.0,3rd Fri,AM,W,Roanoke,City Limit,200
66,63,Hillcrest Rd,257,265.0,3rd Fri,AM,E,Roanoke,City Limit,
67,54,Hillegass,2500,2698.0,4th Thurs,AM,W,Dwight,Derby,
68,64,Hillegass,2501,2699.0,4th Fri,AM,E,Dwight,Derby,
69,63,Hillegass,2700,3098.0,3rd Fri,AM,W,Derby,Woolsey,
70,34,Hillegass,2701,3099.0,4th Tue,AM,E,Derby,Woolsey,
71,34,Hillside Ave,2400,2498.0,4th Tue,PM,W,Prospect,Dwight,
72,44,Hillside Ave,2401,2499.0,4th Wed,PM,E,Prospect,Dwight,
73,62,Holly,1500,1598.0,2nd Fri,PM,W,Rose,Cedar,1500
74,52,Holly,1501,1599.0,2nd Thurs,PM,E,Rose,Cedar,1400
75,22,Hopkins,1100,1498.0,2nd Mon,PM,S,Cedar,Sacramento,
76,61,Hopkins,1100,1498.0,1st Fri,PM,N,Sacramento,San Pablo,
77,61,Hopkins,1400,1498.0,1st Fri,PM,S,Albina,Hopkins Ct,
78,22,Hopkins,1401,1499.0,2nd Mon,PM,N,Albina,Hopkins Ct,
79,62,Hopkins,1500,1998.0,2nd Fri,PM,S,Sacramento,Milvia,
80,52,Hopkins,1501,1999.0,2nd Thurs,PM,N,Sacramento,Milvia,
81,23,Howe,2300,2398.0,3rd Mon,AM,S,Ellsworth,Telegraph,
82,52,Idaho,3124,3204.0,2nd Thurs,AM,W,66th,City Limit,
83,62,Idaho,3125,3204.0,2nd Fri,AM,E,66th,City Limit,
84,62,Jaynes,1600,1798.0,2nd Fri,PM,S,Edith,California,1600-
85,52,Jaynes,1630,1699.0,2nd Thurs,PM,N,Edith,California,
86,41,Jefferson,2000,2498.0,1st Wed,AM,W,University,Dwight,
87,51,Jefferson,2001,2499.0,1st Thurs,AM,E,University,Dwight,
88,21,Jones,830,1098.0,1st Mon,PM,S,6th,San Pablo,
89,31,Jones,831,1099.0,1st Tue,PM,N,6th,San Pablo,
90,61,Jones,1100,1198.0,1st Fri,PM,S,San Pablo,Stannage,
91,22,Jones,1101,1199.0,2nd Mon,PM,N,San Pablo,Stannage,
92,52,Josephine,1200,1598.0,2nd Thurs,PM,W,Hopkins,Cedar,
93,62,Josephine,1201,1599.0,2nd Fri,PM,E,Hopkins,Cedar,
94,42,Josephine,1600,1698.0,2nd Wed,PM,W,Cedar,Virginia,1600
95,32,Josephine,1601,1699.0,2nd Tue,PM,E,Cedar,Virginia,
96,31,Julia,1500,1698.0,1st Tue,AM,S,Sacramento,King,
97,21,Julia,1501,1699.0,1st Mon,AM,N,Sacramento,King,
98,22,Kains,1172,1598.0,2nd Mon,PM,W,City Limit,Hopkins,
99,61,Kains,1171,1599.0,1st Fri,PM,E,City Limit,Hopkins,
100,51,Kains,1600,1698.0,1st Thurs,PM,W,Cedar,Virginia,
101,41,Kains,1601,1699.0,1st Wed,PM,E,Cedar,Virginia,
102,44,Kelsey,2800,2898.0,4th Wed,AM,W,Stuart,Russell,
103,24,Kelsey,2801,2899.0,4th Mon,AM,E,Stuart,Russell,
104,51,King,2900,3398.0,1st Thurs,AM,W,Russell,City Limit,
105,41,King,2901,3399.0,1st Wed,AM,E,Russell,City Limit,
106,43,Lassen,1001,1099.0,3rd Wed,PM,E,Marin,El Dorado,1000
107,53,Lassen,1101,1198.0,3rd Thurs,PM,W,Marin,El Dorado,
108,63,Lewiston,3100,3198.0,3rd Fri,AM,W,Woolsey,Alcatraz,
109,34,Lewiston,3101,3199.0,4th Tue,AM,E,Woolsey,Alcatraz,
110,41,Lincoln,1300,1348.0,1st Wed,PM,S,Chestnut,Terminus,
111,41,Lincoln,1300,1349.0,1st Wed,PM,N,Chestnut,Terminus,
112,51,Lincoln,1401,1499.0,1st Thurs,PM,N,Sacramento,Acton,
113,42,Lincoln,1500,1798.0,2nd Wed,PM,S,Sacramento,Grant,1500
114,32,Lincoln,1501,1799.0,2nd Tue,PM,N,Sacramento,Grant,1600
115,34,Linden,2900,2998.0,4th Tue,AM,W,Ashby,Webster,2900
116,63,Linden,2961,2999.0,3rd Fri,AM,E,Ashby,Webster,
117,43,Lorina,2900,2998.0,3rd Wed,AM,W,Russell,Ashby,
118,53,Lorina,2901,2999.0,3rd Thurs,AM,E,Russell,Ashby,
119,52,Mabel,2500,3199.0,2nd Thurs,AM,W,Dwight,66th,
120,62,Mabel,2501,3123.0,2nd Fri,AM,E,Dwight,66th,
121,63,Magnolia,2960,2998.0,3rd Fri,AM,W,Ashby,Webster,
122,34,Magnolia,2901,2999.0,4th Tue,AM,E,Ashby,Webster,2900
123,52,M L King,1201,1599.0,2nd Thurs,PM,E,Yolo,Cedar,
124,62,M L King,1300,1598.0,2nd Fri,PM,W,Berryman,Cedar,
125,32,M L King,1600,1998.0,2nd Tue,PM,W,Cedar,Berkeley Way,
126,42,M L King,1601,1923.0,2nd Wed,PM,E,Cedar,Berkeley Way,
127,34,M L King,2500,2898.0,4th Tue,PM,W,Dwight,Russell,
128,44,M L King,2501,2899.0,4th Wed,PM,E,Dwight,Russell,
129,41,M L King,2900,3198.0,1st Wed,AM,W,Russell,Fairview,
130,51,M L King,2901,2999.0,1st Thurs,AM,E,Russell,Ashby,
131,51,M L King,3300,3398.0,1st Thurs,AM,E,Alcatraz,City Limit,
132,61,Masonic,1200,1298.0,1st Fri,PM,W,City Limit,Santa Fe,
133,22,Masonic,1201,1299.0,2nd Mon,PM,E,City Limit,Santa Fe,
134,52,Matthews,2500,2998.0,2nd Thurs,AM,W,Dwight,Russell,
135,62,Matthews,2725,2899.0,2nd Fri,AM,E,Dwight,Russell,
136,62,McGee,1400,1598.0,2nd Fri,PM,W,Hopkins,Cedar,
137,52,McGee,1301,1599.0,2nd Thurs,PM,E,Hopkins,Cedar,
138,32,McGee,1600,1798.0,2nd Tue,PM,W,Cedar,Delaware,
139,42,McGee,1601,1799.0,2nd Wed,PM,E,Cedar,Delaware,
140,32,McGee,1800,1898.0,2nd Tue,PM,W,Delaware,Ohlone Park,
141,32,McGee,1801,1899.0,2nd Tue,PM,E,Delaware,Ohlone Park,
142,42,McGee,1901,1999.0,2nd Wed,PM,E,Hearst,University,
143,51,McGee,2000,2898.0,1st Thurs,AM,W,University,Russell,2400
144,41,McGee,2001,2899.0,1st Wed,AM,E,University,Russell,
145,51,McKinley,2100,2498.0,1st Thurs,AM,W,Addison,Dwight,
146,41,McKinley,2101,2499.0,1st Wed,AM,E,Addison,Dwight,
147,52,Milvia,1101,1199.0,2nd Thurs,PM,E,Hopkins,Eunice,
148,62,Milvia,1200,1598.0,2nd Fri,PM,W,Hopkins,Cedar,
149,52,Milvia,1201,1599.0,2nd Thurs,PM,E,Eunice,Cedar,
150,42,Milvia,1600,1998.0,2nd Wed,PM,W,Cedar,University,
151,32,Milvia,1601,1999.0,2nd Tue,PM,E,Cedar,University,
152,41,Milvia,2550,2898.0,1st Wed,AM,W,Blake,Russell,
153,51,Milvia,2551,2899.0,1st Thurs,AM,E,Blake,Russell,
154,52,Miramonte Ct,1400,1498.0,2nd Thurs,PM,W,Ada,Terminus,
155,52,Miramonte Ct,1401,1499.0,2nd Thurs,PM,E,Ada,Terminus,
156,53,Modoc,900,998.0,3rd Thurs,PM,W,Solano,Marin,
157,43,Modoc,901,999.0,3rd Wed,PM,E,Solano,Marin,
158,61,Neilson,1200,1298.0,1st Fri,PM,W,City Limit,Terminus,
159,22,Neilson,1201,1299.0,2nd Mon,PM,E,City Limit,Gilman,
160,61,Neilson,1201,1299.0,1st Fri,PM,E,Gilman,Terminus,
161,22,Neilson,1400,1498.0,2nd Mon,PM,E,Northside,Hopkins,
162,61,Neilson,1401,1499.0,1st Fri,PM,W,Northside,Hopkins,
163,53,Newbury,2900,2998.0,3rd Thurs,AM,W,Russell,Ashby,
164,43,Newbury,2901,2999.0,3rd Wed,AM,E,Russell,Ashby,
165,63,Nogales,0,1.0,3rd Fri,AM,W,The Plaza,Parkside,
166,63,Nogales,0,1.0,3rd Fri,AM,E,The Plaza,Parkside,
167,52,North,1500,1598.0,2nd Thurs,PM,W,Jaynes,Terminus,
168,52,North,1501,1599.0,2nd Thurs,PM,E,Jaynes,Terminus,1500
169,61,Northside,1300,1398.0,1st Fri,PM,W,Gilman,Terminus,
170,61,Northside,1301,1399.0,1st Fri,PM,E,Gilman,Terminus,
171,61,Northside,1401,1499.0,1st Fri,PM,E,Neilson,Hopkins,
172,61,North Valley,2100,2198.0,1st Fri,AM,W,Allston,Terminus,
173,61,North Valley,2101,2199.0,1st Fri,AM,E,Allston,Terminus,2100
174,53,Oak,2300,2348.0,3rd Thurs,PM,S,Arch,Glen,
175,43,Oak,2301,2549.0,3rd Wed,PM,N,Arch,Glen,
176,24,Oak Knoll,2701,2799.0,4th Mon,AM,E,Garber,Avalon,
177,44,Oak Knoll,2800,2828.0,4th Wed,AM,W,Garber,Avalon,
178,34,Oakvale,33,67.0,4th Tue,AM,N,Claremont,Domingo,
179,63,Oakvale,25,,3rd Fri,AM,S,Claremont,Domingo,
180,61,Ordway,1200,1300.0,1st Fri,PM,W,City Limit,Hopkins,
181,22,Ordway,1201,1599.0,2nd Mon,PM,E,City Limit,Hopkins,1400
182,51,Ordway,1300,1398.0,1st Thurs,PM,W,Hopkins,Rose,
183,41,Ordway,1331,1499.0,1st Wed,PM,E,Hopkins,Rose,
184,32,Oregon,1100,1498.0,2nd Tue,AM,S,San Pablo,Sacramento,
185,42,Oregon,1101,1499.0,2nd Wed,AM,N,San Pablo,Sacramento,
186,31,Oregon,1500,1998.0,1st Tue,AM,S,Sacramento,Milvia,
187,21,Oregon,1501,1999.0,1st Mon,AM,N,Sacramento,Milvia,
